inferred_cell_type,sequence_file.insdc_run_accessions,cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id
acinar cell,SRR3562298,GSM2171968 1,27c47d97-6fcd-4689-845a-6dda076e0215
acinar cell,SRR3562299,GSM2171969 1,720380e4-a7c9-492d-a4cd-06bdb5658775
not available,SRR3562300,GSM2171970 1,b716e6db-46e5-4aaf-82fa-4dc03f4cecdb
acinar cell,SRR3562301,GSM2171971 1,fc451169-18c6-4dad-b0e8-cbe5f5632270
not available,SRR3562302,GSM2171972 1,44e86489-2e3b-4d38-9721-055353b85bcb
acinar cell,SRR3562303,GSM2171973 1,8109c564-22ed-4efc-8600-79e42811b0af
acinar cell,SRR3562304,GSM2171974 1,b07e294a-ab86-4e99-b22e-67e33e614ac7
pancreatic A cell,SRR3562305,GSM2171975 1,7b5e2f8c-3b19-4e94-943d-6c49c1488d3c
not available,SRR3562306,GSM2171976 1,8ee7bd3a-9938-407c-b41b-425fafc3824e
pancreatic A cell,SRR3562307,GSM2171977 1,14af33d3-5315-414f-83ce-b861dcfdad19
not available,SRR3562308,GSM2171978 1,9ef8f4b8-2094-4630-bc26-bc451ff20da4
acinar cell,SRR3562309,GSM2171979 1,9fb0b880-f6f1-4f0e-bae7-7aaf5c32266f
acinar cell,SRR3562310,GSM2171980 1,51962100-82fc-49c0-ae65-ba96b86932c0
pancreatic A cell,SRR3562311,GSM2171981 1,0886fdd8-4df4-4295-9253-fc5e26217fc5
acinar cell,SRR3562312,GSM2171982 1,81082654-10cb-4292-9c8a-67a550572601
acinar cell,SRR3562313,GSM2171983 1,49fc17b2-0b82-4a16-a3bc-73281323ec47
acinar cell,SRR3562314,GSM2171984 1,63767623-8da5-4915-898c-e05e94d85f60
pancreatic A cell,SRR3562315,GSM2171985 1,5245b622-544e-4594-9e73-f2bebb29aad8
acinar cell,SRR3562316,GSM2171986 1,971c7eae-c259-458f-b31b-fa23702b6d69
not available,SRR3562317,GSM2171987 1,f8f73c43-158e-4139-b762-d2dd4d784e89
acinar cell,SRR3562318,GSM2171988 1,8dd846f7-6073-4126-9b99-95ebc700e0f4
acinar cell,SRR3562319,GSM2171989 1,066cc363-53b3-40fd-b88d-ce63ffcb5dcf
pancreatic A cell,SRR3562320,GSM2171990 1,9149b256-459b-45b0-9c35-779e9cada8a4
acinar cell,SRR3562321,GSM2171991 1,62889cd9-af6d-4d81-8fcd-6ab250a3d8a5
acinar cell,SRR3562322,GSM2171992 1,0f17ff27-7a21-49fe-ac9b-2c849b545b11
acinar cell,SRR3562323,GSM2171993 1,26d783f7-9cab-46c9-9d17-0305fbe32601
acinar cell,SRR3562324,GSM2171994 1,f067df33-3bc0-472f-870d-fdfd71f0ac9c
not available,SRR3562325,GSM2171995 1,d0c8fd21-14fc-4a4d-acbe-b599a4016d76
pancreatic A cell,SRR3562326,GSM2171996 1,fce187af-38c7-4a6b-92ea-fb1c754feeeb
pancreatic A cell,SRR3562327,GSM2171997 1,2c802f9d-f784-45b8-a461-df262356ff26
acinar cell,SRR3562328,GSM2171998 1,44ea0b15-dfbb-4d08-9b6b-f2a6097bba28
acinar cell,SRR3562329,GSM2171999 1,afddeb13-f157-4560-bca7-23660764182e
not available,SRR3562330,GSM2172000 1,2e6d7482-f2c5-4192-8350-d1767a82d9dd
not available,SRR3562331,GSM2172001 1,e0f22685-d42a-4e54-9c28-109f955d66ae
pancreatic A cell,SRR3562332,GSM2172002 1,9fe62315-a4d3-445e-9a1b-28c93c269b8d
pancreatic A cell,SRR3562333,GSM2172003 1,9ee3234b-1b4f-4841-8bd1-53eca8e54730
acinar cell,SRR3562334,GSM2172004 1,e7c86228-8516-436c-bd1d-f9d511583e09
pancreatic A cell,SRR3562335,GSM2172005 1,8b6ee133-d1e3-4f5e-be09-9006f2fa0a12
not available,SRR3562336,GSM2172006 1,9fca7e9c-1b82-4eda-8c74-86926c78a1c5
acinar cell,SRR3562337,GSM2172007 1,78f2f54f-bf1d-415c-ba73-e1b7fc096506
pancreatic A cell,SRR3562338,GSM2172008 1,7b5a6206-749f-49b1-a9d2-2634e08ee6da
pancreatic A cell,SRR3562339,GSM2172009 1,909b8aa6-fd6b-4e55-9d7b-1158a7c14367
not available,SRR3562340,GSM2172010 1,83d5fccd-5d09-492e-b335-f3c262576f43
acinar cell,SRR3562341,GSM2172011 1,2e28da83-e0ef-4e54-9ed4-c4376ce45f51
acinar cell,SRR3562342,GSM2172012 1,2335bcbd-e8fe-405f-b5e1-f60093d1f91d
not available,SRR3562343,GSM2172013 1,bf445541-a855-4e7d-81e0-be9b6ecb5f28
acinar cell,SRR3562344,GSM2172014 1,1d2df521-374b-4a21-a87d-139e0ef66ded
not available,SRR3562345,GSM2172015 1,498dd88f-db2d-4504-bfd6-364aa9824b94
pancreatic A cell,SRR3562346,GSM2172016 1,751c0e26-bc1c-4044-9219-19ed13650d5b
not available,SRR3562347,GSM2172017 1,a19a9ccf-860c-4610-83fd-09cf47865c26
pancreatic A cell,SRR3562348,GSM2172018 1,5ecc1deb-62b8-43de-92e7-895a2882fef3
pancreatic A cell,SRR3562349,GSM2172019 1,c73a8560-f2f6-4bfa-95c9-f2b77ff17049
not available,SRR3562350,GSM2172020 1,61b2e9c0-9582-43fa-bce4-fe471783c6f4
not available,SRR3562351,GSM2172021 1,7f564eb6-e8ea-4e12-94df-9923d0d44590
not available,SRR3562352,GSM2172022 1,100bdf28-0d6d-4814-817a-551a1ed09e05
pancreatic A cell,SRR3562353,GSM2172023 1,74073cbe-92a8-4280-8f14-a76a0c3402ca
not available,SRR3562354,GSM2172024 1,8832d7e1-4456-44f1-9ad8-4f4fe346f169
pancreatic A cell,SRR3562355,GSM2172025 1,227a3fe5-2560-4652-bb67-6ce25adaf45e
not available,SRR3562356,GSM2172026 1,9a51d219-bec3-4268-b253-fb1e0abee543
pancreatic A cell,SRR3562357,GSM2172027 1,51e7d905-47d9-4377-858f-c90cc80f97ce
not available,SRR3562358,GSM2172028 1,42fe8eb2-d46e-4288-bd34-9beda5622523
pancreatic A cell,SRR3562359,GSM2172029 1,a4d06563-eb18-48a9-89f8-ff945f85faf7
pancreatic A cell,SRR3562360,GSM2172030 1,662d31ba-7ec6-480b-b124-7e5e62b8d543
pancreatic A cell,SRR3562361,GSM2172031 1,153a76f6-086c-4a7e-a539-fd9bf7e27bee
pancreatic A cell,SRR3562362,GSM2172032 1,186c93f4-149d-4621-94b8-74aea53fa3b2
not available,SRR3562363,GSM2172033 1,c74313d8-6754-4bff-85d1-8c132624f4fe
pancreatic A cell,SRR3562364,GSM2172034 1,be376d42-f5a4-4d61-bef5-f614c905a180
not available,SRR3562365,GSM2172035 1,9b45cbc1-dec7-4270-b054-c1d4d1f2bd14
pancreatic A cell,SRR3562366,GSM2172036 1,cfb28451-e013-4022-8d16-e2ed952c5779
not available,SRR3562367,GSM2172037 1,91f47df6-041d-419b-a0e6-b78e7013b3be
not available,SRR3562368,GSM2172038 1,21d3fdeb-f454-45f7-bb4f-82cc11ab8f29
not available,SRR3562369,GSM2172039 1,60b25ffb-3458-4f0b-a0ab-557a2eeeb24c
pancreatic A cell,SRR3562370,GSM2172040 1,aade5521-aea3-450e-a020-986841aed58d
not available,SRR3562371,GSM2172041 1,52b4d7db-da02-47d5-bc5f-7adc181c556c
not available,SRR3562372,GSM2172042 1,14b1f275-1b3e-4bba-b950-5506369f838b
pancreatic A cell,SRR3562373,GSM2172043 1,69325ec4-7bd8-4f19-8f58-d1bb1a3f82a7
not available,SRR3562374,GSM2172044 1,5a4690de-5612-4988-9256-df4d0cb68f81
not available,SRR3562375,GSM2172045 1,b1dff21d-8361-4c09-b914-476036321781
pancreatic A cell,SRR3562376,GSM2172046 1,cc52849d-4e99-4ee8-8411-b80ba54005a3
not available,SRR3562377,GSM2172047 1,19aaa7df-04b3-4d13-9f6a-247999105f73
pancreatic A cell,SRR3562378,GSM2172048 1,71191815-3ea3-433a-b5ec-6db838f0ec95
not available,SRR3562379,GSM2172049 1,7f927bdc-3a23-4a24-925d-012eca339750
pancreatic A cell,SRR3562380,GSM2172050 1,1b12515b-535a-4f3c-b01e-a4f10edec905
pancreatic A cell,SRR3562381,GSM2172051 1,d0f381b7-0625-4bc6-82b1-fe13df552e48
not available,SRR3562382,GSM2172052 1,37f67c1e-711a-49ba-ac92-4974c72c46c0
pancreatic A cell,SRR3562383,GSM2172053 1,4b14beb2-2eb6-46d8-a5c6-03a5cced9d15
pancreatic A cell,SRR3562384,GSM2172054 1,2cc15598-467f-49cc-9b3f-761fef0319d8
not available,SRR3562385,GSM2172055 1,8695a300-cb95-41b3-a073-f767e0db3e61
not available,SRR3562386,GSM2172056 1,7cf6fd85-9d10-47b7-bb10-f737d4b17316
pancreatic A cell,SRR3562387,GSM2172057 1,ae28a619-1915-43e6-982d-8af5962c8642
pancreatic A cell,SRR3562388,GSM2172058 1,a179e5d6-304f-4232-ba74-0459b22be30d
pancreatic A cell,SRR3562389,GSM2172059 1,2b67700b-68ec-42b9-9c8d-77f4c776f355
not available,SRR3562390,GSM2172060 1,07ff424b-3dee-4d7f-bc6a-e115bea572f3
not available,SRR3562391,GSM2172061 1,d6d6b7bb-ff43-45e2-9dcf-ac460545bae0
pancreatic D cell,SRR3562392,GSM2172062 1,54736def-9c11-4938-b231-bdf79eb37ddd
pancreatic A cell,SRR3562393,GSM2172063 1,7288b12f-dbf0-4118-a3c8-8f68e6026648
pancreatic A cell,SRR3562394,GSM2172064 1,c3ca91c1-e7ee-495b-9054-3c12a477db5b
pancreatic A cell,SRR3562395,GSM2172065 1,f10de2fa-db81-47e0-99e7-2542cb0ab89a
pancreatic A cell,SRR3562396,GSM2172066 1,314acf16-8ddc-4631-9705-520e056db984
pancreatic A cell,SRR3562397,GSM2172067 1,78f04f00-025a-4fb8-bd07-da20af835e82
not available,SRR3562398,GSM2172068 1,6f13fb77-6ae1-40a3-8cea-800fc8a5b343
not available,SRR3562399,GSM2172069 1,2517fedd-3e2e-4fe6-8555-67a4650934cb
not available,SRR3562400,GSM2172070 1,0c059fed-2f12-4ada-9102-38eba50a270e
not available,SRR3562401,GSM2172071 1,1e5887e1-8d79-460d-9be2-7db0c63905bd
not available,SRR3562402,GSM2172072 1,b4698b71-27f6-4688-af7c-335685e0030c
not available,SRR3562403,GSM2172073 1,855daa8d-ee72-44f5-a605-51be8096eac6
pancreatic A cell,SRR3562404,GSM2172074 1,8f2bd7fc-533d-4c0f-9ad9-dd2a66c55c03
type B pancreatic cell,SRR3562405,GSM2172075 1,8f6f019e-c347-4187-9de2-25076f3761cb
pancreatic A cell,SRR3562406,GSM2172076 1,058b2695-8792-46e7-b55f-435131742432
pancreatic A cell,SRR3562407,GSM2172077 1,41b10732-6db6-43f6-861d-8376c7ac7a0c
not available,SRR3562408,GSM2172078 1,00ca0d37-b787-41a4-be59-2aff5b13b0bd
pancreatic A cell,SRR3562409,GSM2172079 1,30fea96e-e231-4d70-a0a2-995f2c083b9d
pancreatic A cell,SRR3562410,GSM2172080 1,65529d21-9902-46d3-9024-b23675efa92c
not available,SRR3562411,GSM2172081 1,d04cdbd8-4a71-4609-bb80-3d61b3fef39d
not available,SRR3562412,GSM2172082 1,fcd463ad-5bdb-4497-a015-f339569e7bc8
not available,SRR3562413,GSM2172083 1,0b28f7ca-227e-4f91-ad89-117b37ca57e8
pancreatic A cell,SRR3562414,GSM2172084 1,e0ec9fd1-7786-4f50-8bee-013e72238178
pancreatic A cell,SRR3562415,GSM2172085 1,89bc2d51-34da-4e2e-a31f-169e338c9510
pancreatic A cell,SRR3562416,GSM2172086 1,dc8faa57-4468-46dc-919b-db949d427b9d
not available,SRR3562417,GSM2172087 1,e5b85ad8-6115-46ec-98fd-3f5bf4c2261e
not available,SRR3562418,GSM2172088 1,72e9ffc2-9314-49c8-ac7e-4756ae6c8034
not available,SRR3562419,GSM2172089 1,3c9785ee-6017-4b89-85aa-7f3ccfb09602
pancreatic A cell,SRR3562420,GSM2172090 1,f3f8ce2a-387a-4ef7-ae28-951f02e5b335
not available,SRR3562421,GSM2172091 1,469c03c2-3b31-4632-8bca-85ab0b6a84f9
pancreatic A cell,SRR3562422,GSM2172092 1,0d6e9ed7-c0c3-494e-98db-c2c190c83e62
pancreatic A cell,SRR3562423,GSM2172093 1,aba29e5e-2380-4cfb-9eaa-a015fa333729
not available,SRR3562424,GSM2172094 1,a39d7ab1-4053-4ec2-a6a0-729865fe52fc
pancreatic A cell,SRR3562425,GSM2172095 1,7ca601f7-ec30-4f5b-9643-bb621280e9f2
pancreatic A cell,SRR3562426,GSM2172096 1,58d8d467-e766-4776-9d59-3cfc455f52dc
not available,SRR3562427,GSM2172097 1,acbfa5a3-5c5c-4575-97a7-0593917120f1
not available,SRR3562428,GSM2172098 1,d9f70bb9-74fd-45af-80ed-d6e237472266
pancreatic D cell,SRR3562429,GSM2172099 1,0187258c-876d-43c6-984a-16d5861bd0b3
pancreatic A cell,SRR3562430,GSM2172100 1,477b9914-9beb-4965-9eda-f8495fe1609e
pancreatic A cell,SRR3562431,GSM2172101 1,9e3b76b5-b1ff-447c-a422-e73521e3df64
type B pancreatic cell,SRR3562432,GSM2172102 1,30680f91-bd22-4809-a780-fc0efa5dfd42
not available,SRR3562433,GSM2172103 1,21d62ace-86a2-402f-91d5-7a1b8529a028
not available,SRR3562434,GSM2172104 1,4351d703-48c5-4c83-a464-fe24ecb12876
not available,SRR3562435,GSM2172105 1,34e9762a-0605-413f-bfb2-1183ebe59de2
not available,SRR3562436,GSM2172106 1,72de164e-6084-4782-b470-d91f37e87eb0
not available,SRR3562437,GSM2172107 1,06b0d45b-1ff2-4f57-959c-61f838a11e9d
pancreatic D cell,SRR3562438,GSM2172108 1,d0a9d453-fd63-4138-bd94-83de647ba34b
not available,SRR3562439,GSM2172109 1,47a110a1-0c9e-4095-a007-369c5e94dc43
pancreatic A cell,SRR3562440,GSM2172110 1,f8213984-331f-464c-9110-ed0f0f4fc85f
not available,SRR3562441,GSM2172111 1,1c81cc6d-e59a-457d-ad49-34dc82eb58c2
not available,SRR3562442,GSM2172112 1,c55e3850-489d-4a69-9511-be0b63ddef5e
not available,SRR3562443,GSM2172113 1,3fa18950-47ec-4883-b4eb-a79804783e93
pancreatic A cell,SRR3562444,GSM2172114 1,60a752c9-d3cb-4d7d-a981-4d9ebce57972
pancreatic A cell,SRR3562445,GSM2172115 1,ca1b9820-79fc-4796-a040-a2f2faccee3f
pancreatic A cell,SRR3562446,GSM2172116 1,4daf8e47-5409-4a7f-847e-2f2733ff3925
not available,SRR3562447,GSM2172117 1,e1816187-8da6-4e31-8cee-91608a7cb227
not available,SRR3562448,GSM2172118 1,271cbd76-4225-4cb1-a3c5-2e29d74573a7
pancreatic A cell,SRR3562449,GSM2172119 1,640d0035-b86b-4a96-b7c1-1292417624cb
pancreatic A cell,SRR3562450,GSM2172120 1,47ca7d10-b89a-44ed-bda5-d513513ed546
pancreatic A cell,SRR3562451,GSM2172121 1,26924ac0-01bc-421f-97db-79a05bceb890
pancreatic A cell,SRR3562452,GSM2172122 1,1139a2c8-ce48-43bf-8ef0-fea14efbc0e2
pancreatic A cell,SRR3562453,GSM2172123 1,f15239db-3564-4d22-a017-ad9b5376bc83
not available,SRR3562454,GSM2172124 1,a064349e-d663-45de-9e4e-c3b9df91fc1d
pancreatic A cell,SRR3562455,GSM2172125 1,7c7a3dc2-cdff-406e-a3f7-8b2a16a23f35
pancreatic A cell,SRR3562456,GSM2172126 1,0d0982df-3c44-4cdb-85e5-78ed5d0a8757
not available,SRR3562457,GSM2172127 1,6dd189d0-ab29-48ed-b940-e28ef406ac3e
not available,SRR3562458,GSM2172128 1,0ac47b5f-28d8-4b99-b676-9564b47738af
not available,SRR3562459,GSM2172129 1,34ba86b5-b589-45da-a801-3afc52b60f7b
not available,SRR3562460,GSM2172130 1,d5661bc1-a27a-4e3f-94b1-4f3fd51ac105
pancreatic D cell,SRR3562461,GSM2172131 1,c4050272-d6da-47fa-afd5-469a46c0f873
not available,SRR3562462,GSM2172132 1,29c12863-70ee-4547-bfe8-9b1e875b2c9c
not available,SRR3562463,GSM2172133 1,914bb18d-900a-4b85-836e-06fae44e9a8a
pancreatic A cell,SRR3562464,GSM2172134 1,16b3724c-13de-4f97-b45b-06b8b5e9b347
pancreatic A cell,SRR3562465,GSM2172135 1,e12609da-bcbf-4766-adf1-bb5dd5399717
not available,SRR3562466,GSM2172136 1,524d9f6b-0a4c-47c3-b318-abc58342b07e
pancreatic A cell,SRR3562467,GSM2172137 1,48ea9554-1387-4d03-946b-955d78ac40d8
not available,SRR3562468,GSM2172138 1,8a603384-4f13-4373-8326-e5c2c5e6570c
pancreatic A cell,SRR3562469,GSM2172139 1,e4f3dc1a-a0ca-4256-8ab3-d1c2053370ca
not available,SRR3562470,GSM2172140 1,4ed77663-eafa-44c3-8170-74af8227b4ec
pancreatic A cell,SRR3562471,GSM2172141 1,f9869e79-14b1-4db1-b660-2554883fb214
pancreatic A cell,SRR3562472,GSM2172142 1,9787d360-22a9-4925-b457-e7d36d569a55
pancreatic A cell,SRR3562473,GSM2172143 1,77614136-806b-4516-b79a-5548f1110453
pancreatic A cell,SRR3562474,GSM2172144 1,b34fc7a5-74d7-468f-8eb1-4b17d467754f
not available,SRR3562475,GSM2172145 1,e988e4e2-a294-4364-ba2c-78f4c3636303
not available,SRR3562476,GSM2172146 1,653066ac-6ab4-403a-9185-aeb91bff903d
not available,SRR3562477,GSM2172147 1,4409896c-3c55-457e-ae65-37862a8d6a52
pancreatic A cell,SRR3562478,GSM2172148 1,ec197ba6-30d7-447b-9e0f-c91c349c53c7
pancreatic A cell,SRR3562479,GSM2172149 1,5a539cdb-5756-4576-84a8-15ad18a52195
pancreatic A cell,SRR3562480,GSM2172150 1,53b7696c-5a55-4429-b666-a8f734fb9b9b
pancreatic A cell,SRR3562481,GSM2172151 1,de78dd29-4383-445d-aeeb-73c1a73d5da9
pancreatic A cell,SRR3562482,GSM2172152 1,19314281-334c-4472-9a09-39ecac4e4921
pancreatic A cell,SRR3562483,GSM2172153 1,4a597cd2-819a-4d3a-b186-3d07754e9476
not available,SRR3562484,GSM2172154 1,c38f7035-9c74-4223-af17-4b4c21bfcc22
not available,SRR3562485,GSM2172155 1,3338542c-4949-4919-9844-be090c3a700a
not available,SRR3562486,GSM2172156 1,6bed0998-a98a-4373-a4be-5e237711c16e
pancreatic A cell,SRR3562487,GSM2172157 1,c535d615-705c-428d-98c4-3492af89ec0d
not available,SRR3562488,GSM2172158 1,0d494f7a-6daa-4d63-bdc6-771338ddc673
pancreatic D cell,SRR3562489,GSM2172159 1,071d9669-e3ff-4c20-b58e-9f8052d8737f
pancreatic A cell,SRR3562490,GSM2172160 1,ae09efe5-43a0-41ee-94db-58b9e878a1a6
